time,acceleration
0,-0.00050922
0.02,-0.000345766
0.04,0.001078783
0.06,0.002411648
0.08,0.003780208
0.1,0.004149002
0.12,0.00138258
0.14,-0.002549611
0.16,-0.004254719
0.18,-0.001002998
0.2,0.003567354
0.22,0.007051334
0.24,0.009834843
0.26,0.012574378
0.28,0.011343239
0.3,0.006508424
0.32,0.001732632
0.34,-0.00289334
0.36,-0.005094394
0.38,-0.003281732
0.4,-0.001038355
0.42,0.000740463
0.44,0.002956033
0.46,0.005528042
0.48,0.008079057
0.5,0.008244278
0.52,0.004760301
0.54,0.000821885
0.56,-0.002597453
0.58,-0.004116237
0.6,-0.003821527
0.62,-0.003501126
0.64,-0.003252838
0.66,-0.002923264
0.68,-0.003251405
0.7,-0.003922165
0.72,-0.004488646
0.74,-0.005065948
0.76,-0.004488274
0.78,-0.001828825
0.8,0.001149323
0.82,0.00396649
0.84,0.007139153
0.86,0.010686785
0.88,0.014417183
0.9,0.018251846
0.92,0.022063471
0.94,0.024435055
0.96,0.020160595
0.98,0.015819087
1,0.016844526
1.02,0.018419908
1.04,0.017450226
1.06,0.013022476
1.08,0.008033851
1.1,0.003284145
1.12,0.00017945
1.14,0.00801116
1.16,0.021435468
1.18,0.032493168
1.2,0.03359575
1.22,0.027357208
1.24,0.022067531
1.26,0.02024871
1.28,0.026273734
1.3,0.035298593
1.32,0.041165275
1.34,0.032849767
1.36,0.015743055
1.38,-0.000490774
1.4,-0.016737035
1.42,-0.034252443
1.44,-0.051196112
1.46,-0.056769056
1.48,-0.048119286
1.5,-0.039584813
1.52,-0.035502648
1.54,-0.031657798
1.56,-0.023040271
1.58,-0.016993075
1.6,-0.021205215
1.62,-0.024455698
1.64,-0.021558529
1.66,-0.017864712
1.68,-0.015201252
1.7,-0.012589153
1.72,-0.010016418
1.74,-0.00222885
1.76,0.010649048
1.78,0.008631573
1.8,-0.005136978
1.82,-0.012994308
1.84,-0.01686682
1.86,-0.022350717
1.88,-0.019563002
1.9,-0.007579675
1.92,0.00282036
1.94,0.009956404
1.96,0.019043954
1.98,0.03390071
2,0.03987907
2.02,0.02318903
2.04,0.002680187
2.06,-0.014075264
2.08,-0.031638527
2.1,-0.039096205
2.12,-0.020683302
2.14,0.002716179
2.16,0.020437237
2.18,0.021547869
2.2,0.006896574
2.22,-0.006029552
2.24,-0.015931811
2.26,-0.027287907
2.28,-0.031824442
2.3,-0.027941418
2.32,-0.030715835
2.34,-0.046537695
2.36,-0.061810997
2.38,-0.070889739
2.4,-0.076469918
2.42,-0.070281529
2.44,-0.049816565
2.46,-0.032223018
2.48,-0.021548879
2.5,-0.008676137
2.52,0.01325922
2.54,0.038808202
2.56,0.055741821
2.58,0.040667086
2.6,0.015734006
2.62,-0.004412412
2.64,-0.027354159
2.66,-0.044309229
2.68,-0.037735613
2.7,-0.027508303
2.72,-0.022323288
2.74,-0.021229557
2.76,-0.0284371
2.78,-0.035032904
2.8,-0.037226957
2.82,-0.038292245
2.84,-0.031803755
2.86,-0.01649047
2.88,-0.004898975
2.9,0.005712647
2.92,0.020755311
2.94,0.038698936
2.96,0.052577436
2.98,0.062145827
3,0.064952122
3.02,0.057545333
3.04,0.043630471
3.06,0.032363545
3.08,0.033157563
3.1,0.040910532
3.12,0.046755459
3.14,0.036527348
3.16,0.019957205
3.18,0.002732432
3.2,-0.015544168
3.22,-0.012968391
3.24,0.002349764
3.26,0.018823103
3.28,0.037068827
3.3,0.034044539
3.32,0.016214242
3.34,-0.002708863
3.36,-0.019847376
3.38,-0.020623695
3.4,-0.019276019
3.42,-0.030485348
3.44,-0.039683677
3.46,-0.038539004
3.48,-0.034594326
3.5,-0.033501637
3.52,-0.033826931
3.54,-0.019138202
3.56,0.004426258
3.58,0.025159357
3.6,0.039440202
3.62,0.037039101
3.64,0.03019906
3.66,0.027511084
3.68,0.024970178
3.7,0.023016345
3.72,0.02931959
3.74,0.047520915
3.76,0.064094321
3.78,0.06862081
3.8,0.032835381
3.82,-0.021582969
3.84,-0.036678243
3.86,-0.021260444
3.88,-0.018087573
3.9,-0.042695631
3.92,-0.03981362
3.94,-0.02624554
3.96,-0.038176389
3.98,-0.058446166
4,-0.044561867
4.02,-0.005691688
4.04,0.028405975
4.06,0.048643528
4.08,0.025754176
4.1,-0.017105077
4.12,-0.04952923
4.14,-0.073448277
4.16,-0.076171214
4.18,-0.048133036
4.2,-0.019780733
4.22,-0.003869097
4.24,0.015568283
4.26,0.042061016
4.28,0.036357912
4.3,0.00188018
4.32,-0.030113773
4.34,-0.048919338
4.36,-0.029591708
4.38,-0.003703572
4.4,0.01473918
4.42,0.042042457
4.44,0.073713971
4.46,0.072402729
4.48,0.05694174
4.5,0.042066008
4.52,0.034649538
4.54,0.037071332
4.56,0.039058393
4.58,0.023003722
4.6,-0.003640781
4.62,-0.028294817
4.64,-0.052453686
4.66,-0.057186287
4.68,-0.041278618
4.7,-0.029696677
4.72,-0.018158459
4.74,0.00824204
4.76,0.041402826
4.78,0.063326903
4.8,0.054105275
4.82,0.017152945
4.84,0.002553315
4.86,0.015973185
4.88,0.036961755
4.9,0.042064626
4.92,0.028156797
4.94,0.014013267
4.96,0.004970233
4.98,0.007103392
5,0.005065941
5.02,-0.002833322
5.04,-0.015467001
5.06,-0.023931799
5.08,-0.013009318
5.1,0.014325439
5.12,0.03968347
5.14,0.051124773
5.16,0.041167344
5.18,0.02319918
5.2,0.004026775
5.22,-0.020264377
5.24,-0.043765782
5.26,-0.060336946
5.28,-0.064962872
5.3,-0.043480565
5.32,-0.014257026
5.34,0.005790845
5.36,0.017238748
5.38,0.008233283
5.4,-0.013707551
5.42,-0.028855855
5.44,-0.025453929
5.46,0.001609427
5.48,0.030024615
5.5,0.030529234
5.52,0.002677386
5.54,-0.025609831
5.56,-0.034774517
5.58,-0.033476972
5.6,-0.032350196
5.62,-0.030308185
5.64,-0.024682939
5.66,-0.015366454
5.68,-0.009270726
5.7,-0.010609451
5.72,-0.018294525
5.74,-0.030354042
5.76,-0.034514298
5.78,-0.013284286
5.8,0.021827
5.82,0.053038566
5.84,0.073582421
5.86,0.080395567
5.88,0.07830401
5.9,0.062176751
5.92,0.041380788
5.94,0.02731912
5.96,0.019176744
5.98,0.018189657
6,0.022569853
6.02,0.031717328
6.04,0.037829077
6.06,0.038750094
6.08,0.038698371
6.1,0.031990901
6.12,0.004729174
6.14,-0.025714318
6.16,-0.048333086
6.18,-0.063280639
6.2,-0.057130985
6.22,-0.04052713
6.24,-0.027393079
6.26,-0.021062837
6.28,-0.017451407
6.3,-0.016675792
6.32,-0.018839993
6.34,-0.014380014
6.36,-0.009186755
6.38,-0.016936517
6.4,-0.032444003
6.42,-0.040519311
6.44,-0.024924442
6.46,0.001173006
6.48,0.017060834
6.5,0.036422245
6.52,0.05300584
6.54,0.048588618
6.56,0.035170581
6.58,0.022658725
6.6,0.016964048
6.62,0.003210247
6.64,-0.017976783
6.66,-0.019866944
6.68,-0.013722941
6.7,-0.011456776
6.72,-0.019652451
6.74,-0.02703497
6.76,-0.004332534
6.78,0.020271456
6.8,0.059580398
6.82,0.060679491
6.84,-0.046332267
6.86,-0.093502882
6.88,-0.037832356
6.9,-0.016018691
6.92,-0.017986887
6.94,-0.020515943
6.96,-0.010719859
6.98,0.007034267
7,0.018922735
7.02,0.045041247
7.04,0.061967905
7.06,0.058027707
7.08,0.056143651
7.1,0.044803736
7.12,0.028777955
7.14,0.004796504
7.16,-0.006351624
7.18,0.000547064
7.2,-0.006852338
7.22,-0.017832136
7.24,-0.016602237
7.26,-0.025381246
7.28,-0.041500169
7.3,-0.038529011
7.32,-0.011024775
7.34,0.015883536
7.36,0.02511992
7.38,0.019035372
7.4,0.008490391
7.42,-0.004353929
7.44,-0.006678191
7.46,-0.004022299
7.48,-0.002817157
7.5,-0.00309817
7.52,-0.010292641
7.54,-0.014038973
7.56,-0.00830657
7.58,-0.015117136
7.6,-0.034054172
7.62,-0.049504181
7.64,-0.046734166
7.66,-0.038765125
7.68,-0.03323106
7.7,-0.026235967
7.72,-0.020198845
7.74,-0.01057069
7.76,0.007652302
7.78,0.027831734
7.8,0.04646601
7.82,0.063001333
7.84,0.062105705
7.86,0.054701126
7.88,0.057581595
7.9,0.04994211
7.92,0.028896666
7.94,0.011823259
7.96,-0.001030048
7.98,-0.012933471
8,-0.015057805
8.02,-0.009412127
8.04,-0.005950142
8.06,-0.009506556
8.08,-0.019942074
8.1,-0.0286654
8.12,-0.023113739
8.14,-0.015543095
8.16,-0.009464671
8.18,0.000609361
8.2,0.015545707
8.22,0.031269256
8.24,0.027105774
8.26,0.006166657
8.28,-0.012123298
8.3,-0.028114897
8.32,-0.039696542
8.34,-0.032282238
8.36,-0.021313988
8.38,-0.018164792
8.4,-0.015287653
8.42,-0.011499571
8.44,-0.023068546
8.46,-0.041484578
8.48,-0.044256667
8.5,-0.021024811
8.52,0.004182892
8.54,0.022256745
8.56,0.020642452
8.58,0.001591615
8.6,-0.011527264
8.62,-0.015932683
8.64,-0.016885139
8.66,-0.003129231
8.68,0.016584845
8.7,0.035483292
8.72,0.039132713
8.74,0.02785111
8.76,0.017054483
8.78,0.011857833
8.8,0.013730159
8.82,0.018861461
8.84,0.022305738
8.86,0.017111988
8.88,0.005865311
8.9,-0.000654598
8.92,-0.001895539
8.94,-0.002737315
8.96,-0.01555423
8.98,-0.037926184
9,-0.046901181
9.02,-0.02641722
9.04,-0.008007703
9.06,0.001752172
9.08,0.011558406
9.1,0.026202198
9.12,0.12454795
9.14,0.10429166
9.16,0.044350325
9.18,0.014862941
9.2,0.008796701
9.22,0.018966999
9.24,0.028715426
9.26,0.035747777
9.28,0.026487043
9.3,0.015403215
9.32,-0.007854817
9.34,-0.020579763
9.36,-0.029793932
9.38,-0.045870234
9.4,-0.044615678
9.42,-0.042864272
9.44,-0.057118022
9.46,-0.044960933
9.48,-0.00736381
9.5,0.028690745
9.52,0.031394329
9.54,0.034223739
9.56,0.030603969
9.58,0.006640015
9.6,-0.027116128
9.62,-0.056795467
9.64,-0.058296005
9.66,-0.043191748
9.68,-0.012903697
9.7,0.021989147
9.72,0.022668782
9.74,-0.002661792
9.76,-0.027990578
9.78,-0.020622577
9.8,0.00885221
9.82,0.035778783
9.84,0.04768214
9.86,0.029542279
9.88,0.001822538
9.9,-0.007670906
9.92,0.021033362
9.94,0.0565976
9.96,0.058207603
9.98,0.009657365
10,-0.033662119
10.02,-0.046610857
10.04,-0.061523855
10.06,-0.073987118
10.08,-0.06902165
10.1,-0.054509451
10.12,-0.045711523
10.14,-0.035761864
10.16,-0.013481471
10.18,0.002910459
10.2,0.002187129
10.22,-0.009913857
10.24,-0.015761494
10.26,-0.01412038
10.28,-0.01504551
10.3,-0.01392888
10.32,-0.001548483
10.34,0.007123184
10.36,0.001132812
10.38,-0.011421649
10.4,-0.017638138
10.42,-0.013587835
10.44,0.003073366
10.46,0.031910171
10.48,0.055339886
10.5,0.057126416
10.52,0.050858766
10.54,0.029426937
10.56,-0.016465068
10.58,-0.05272125
10.6,-0.047680606
10.62,-0.039279135
10.64,-0.075364834
10.66,-0.122368697
10.68,-0.086783718
10.7,0.001997932
10.72,0.057242804
10.74,0.059720369
10.76,0.051174818
10.78,0.051571159
10.8,0.027009399
10.82,-0.008346755
10.84,0.018445602
10.86,0.067051575
10.88,0.065828469
10.9,0.024224288
10.92,0.000347564
10.94,-0.002941692
10.96,-0.01685169
10.98,-0.020839157
11,0.009495208
11.02,0.035326707
11.04,0.045782042
11.06,0.058892314
11.08,0.053423522
11.1,0.027181666
11.12,0.009847142
11.14,0.003376048
11.16,-0.016440322
11.18,-0.04700547
11.2,-0.0486817
11.22,-0.019669015
11.24,-0.000894715
11.26,0.002207999
